Year-Tm,Year,Tm,Lg,G,W,L,W-L%,#Bat,R/G-hit,PA-hit,AB-hit,R-hit,H-hit,2B-hit,3B-hit,HR-hit,RBI-hit,SB-hit,CS-hit,BB-hit,SO-hit,BA-hit,OBP-hit,SLG-hit,OPS-hit,TB-hit,GDP-hit,HBP-hit,SH-hit,SF-hit,IBB-hit,LOB-hit,OPS+-hit,ERA-pitch,CG-pitch,SHO-pitch,SV-pitch,IP-pitch,H-pitch,R-pitch,ER-pitch,HR-pitch,BB-pitch,IBB-pitch,SO-pitch,HBP-pitch,BK-pitch,WP-pitch,BF-pitch,WHIP-pitch,H9-pitch,HR9-pitch,BB9-pitch,SO9-pitch,SO/W-pitch,ERA+-pitch,Winner
2017OAK,2017,OAK,AL,162.0,75.0,87.0,0.46299999999999997,44.0,4.56,6126.0,5464.0,739.0,1344.0,305.0,15.0,234.0,708.0,57.0,22.0,565.0,1491.0,0.24600000000000002,0.319,0.436,0.755,2381.0,129.0,43.0,13.0,40.0,15.0,1075.0,104.0,4.67,1,1,35,1431.0,1444,826,743,210,502,17,1202,61,3,84,6167,1.36,9.1,1.3,3.2,7.6,2.39,90,False
2017BAL,2017,BAL,AL,162.0,75.0,87.0,0.46299999999999997,41.0,4.59,6140.0,5650.0,743.0,1469.0,269.0,12.0,232.0,713.0,32.0,13.0,392.0,1412.0,0.26,0.312,0.435,0.747,2458.0,138.0,50.0,10.0,37.0,12.0,1041.0,100.0,4.97,1,1,35,1441.0,1505,841,796,242,579,21,1233,60,6,53,6293,1.446,9.4,1.5,3.6,7.7,2.13,88,False
2019WSN,2019,WSN,NL,162.0,93.0,69.0,0.574,50.0,5.39,6267.0,5512.0,873.0,1460.0,298.0,27.0,231.0,824.0,116.0,29.0,584.0,1308.0,0.265,0.342,0.45399999999999996,0.7959999999999999,2505.0,117.0,81.0,48.0,42.0,33.0,1114.0,105.0,4.28,1,1,40,1439.1,1340,724,684,202,517,41,1511,61,5,53,6134,1.29,8.4,1.3,3.2,9.4,2.92,104,False
2007MIL,2007,MIL,NL,162.0,83.0,79.0,0.512,40.0,4.94,6238.0,5554.0,801.0,1455.0,310.0,37.0,231.0,774.0,96.0,32.0,501.0,1137.0,0.262,0.32899999999999996,0.456,0.785,2532.0,112.0,76.0,60.0,47.0,60.0,1117.0,101.0,4.44,3,0,49,1444.1,1513,776,713,161,507,37,1174,52,2,57,6285,1.399,9.4,1.0,3.2,7.3,2.32,100,False
2015HOU,2015,HOU,AL,162.0,86.0,76.0,0.531,39.0,4.5,6073.0,5459.0,729.0,1363.0,278.0,26.0,230.0,691.0,121.0,48.0,486.0,1392.0,0.25,0.315,0.43700000000000006,0.752,2383.0,102.0,56.0,28.0,43.0,22.0,1036.0,107.0,3.57,5,3,39,1441.0,1308,618,572,148,423,17,1280,43,2,61,5965,1.2009999999999998,8.2,0.9,2.6,8.0,3.03,110,False
2017TBR,2017,TBR,AL,162.0,80.0,82.0,0.494,40.0,4.28,6147.0,5478.0,694.0,1340.0,226.0,32.0,228.0,671.0,88.0,34.0,545.0,1538.0,0.245,0.317,0.42200000000000004,0.7390000000000001,2314.0,115.0,55.0,16.0,48.0,33.0,1114.0,99.0,3.99,0,0,53,1445.0,1324,704,640,193,503,37,1352,48,4,83,6099,1.264,8.2,1.2,3.1,8.4,2.69,106,False
2019CIN,2019,CIN,NL,162.0,75.0,87.0,0.46299999999999997,47.0,4.33,6100.0,5450.0,701.0,1328.0,235.0,27.0,227.0,679.0,80.0,38.0,492.0,1436.0,0.244,0.315,0.42200000000000004,0.736,2298.0,111.0,89.0,30.0,33.0,25.0,1073.0,84.0,4.18,0,0,46,1438.0,1270,711,668,214,536,31,1552,58,8,35,6057,1.256,7.9,1.3,3.4,9.7,2.9,114,False
2018OAK,2018,OAK,AL,162.0,97.0,65.0,0.599,39.0,5.02,6255.0,5579.0,813.0,1407.0,322.0,20.0,227.0,778.0,35.0,21.0,550.0,1381.0,0.252,0.325,0.439,0.764,2450.0,136.0,76.0,6.0,44.0,18.0,1085.0,110.0,3.82,2,2,44,1465.2,1303,674,622,184,474,19,1237,53,2,86,6099,1.212,8.0,1.1,2.9,7.6,2.61,109,False
2016STL,2016,STL,NL,162.0,86.0,76.0,0.531,41.0,4.81,6223.0,5548.0,779.0,1415.0,299.0,32.0,225.0,745.0,35.0,26.0,526.0,1318.0,0.255,0.325,0.442,0.767,2453.0,117.0,70.0,37.0,41.0,28.0,1113.0,104.0,4.08,2,2,38,1448.1,1432,712,656,159,475,35,1290,52,1,50,6164,1.317,8.9,1.0,3.0,8.0,2.72,100,False
2019COL,2019,COL,NL,162.0,71.0,91.0,0.43799999999999994,50.0,5.15,6288.0,5660.0,835.0,1502.0,323.0,41.0,224.0,803.0,71.0,31.0,489.0,1503.0,0.265,0.326,0.456,0.782,2579.0,111.0,43.0,51.0,43.0,25.0,1075.0,90.0,5.58,1,1,28,1448.2,1576,958,898,270,589,33,1264,57,7,63,6423,1.494,9.8,1.7,3.7,7.9,2.15,92,False
